	variable	value	citibike_station_id	label
1461	10	0	300	Cooper Square & E 7 St
1485	10	0	301	E 2 St & Avenue B
1514	10	0	302	Avenue D & E 3 St
1542	10	29.08	303	Mercer St & Spring St
1567	10	0.33	304	Broadway & Battery Pl
1595	10	19.28	305	E 58 St and 3 Ave
1615	10	12.09	306	Cliff St & Fulton St
1639	10	0	307	Canal St & Rutgers St
1667	10	0.22	308	St James Pl & Oliver St
1696	10	22.98	309	Murray St & West St
1717	10	0.65	311	Norfolk St & Broome St
1743	10	18.41	312	Allen St & E Houston St
1772	10	28.65	315	South St & Gouverneur Ln
1818	10	3.38	316	Fulton St & William St
1841	10	0	317	E 6 St & Avenue B
1860	10	8.28	319	Park Pl & Church St
1890	10	8.71	320	Church St & Leonard St
1914	10	0	325	E 19 St & 3 Ave
1932	10	0	326	E 11 St & 1 Ave
1952	10	12.2	327	Vesey Pl & River Terrace
1978	10	28.54	328	Watts St & Greenwich St
2004	10	29.8	329	Greenwich St & N Moore St
2036	10	5.45	330	Reade St & Broadway
2069	10	0	331	Pike St & Monroe St
2096	10	0	332	Cherry St
2131	10	1.74	334	W 20 St & 7 Ave
2157	10	25.38	335	Washington Pl & Broadway
2172	10	4.68	336	Sullivan St & Washington Sq
2199	10	43.79	337	Old Slip & Front St
2213	10	0	339	Avenue D & E 12 St
2237	10	0	340	Madison St & Clinton St
2276	10	1.09	341	Stanton St & Mangin St
2304	10	0	342	Columbia St & Rivington St
2336	10	0.22	345	W 13 St & 6 Ave
2363	10	0	346	Bank St & Hudson St
2392	10	38.02	347	W Houston St & Hudson St
2397	10	24.73	348	W Broadway & Spring St
2420	10	0.22	349	Rivington St and Ridge St
2455	10	0	350	Clinton St & Grand St
2471	10	38.02	351	Front St & Maiden Ln
2505	10	40.41	352	W 56 St & 6 Ave
2536	10	4.03	355	Bayard St & Baxter St
2549	10	0.44	356	Bialystoker Pl & Delancey St
2587	10	2.94	357	E 11 St & Broadway
2618	10	0.44	358	Christopher St & Greenwich St
2646	10	0.44	359	E 47 St & Park Av
2653	10	9.48	360	William St & Pine St
2684	10	0	361	Allen St & Hester St
2712	10	1.85	362	Broadway & W 37 St
2743	10	0.54	363	West Thames St
2758	10	0	367	E 53 St and Lexington Ave
2785	10	1.85	368	Carmine St & 6 Ave
2824	10	0	369	Washington Pl & 6 Ave
2852	10	3.27	375	Mercer St & Bleecker St
2881	10	5.45	376	John St & William St
2911	10	5.88	377	6 Ave & Canal St
2926	10	0.11	379	W 31 St & 7 Ave
2952	10	0	380	W 4 St & 7 Ave S
2975	10	10.78	382	University Pl & E 14 St
3002	10	0	383	Greenwich Ave & 7 Ave
3033	10	1.63	385	E 55 St & 2 Ave
3056	10	14.38	386	Centre St & Worth St
