variable	value	label
408	0	0	E 39 St & 3 Av
409	3	0	W 18 St & 6 Av
410	23	0	W 18 St & 6 Av
411	19	0.11	W 18 St & 6 Av
412	20	0	W 18 St & 6 Av
413	8	1.42	W 18 St & 6 Av
414	10	18.19	W 18 St & 6 Av
415	15	3.93	W 18 St & 6 Av
416	11	15.9	W 18 St & 6 Av
417	5	0	W 18 St & 6 Av
418	9	14.49	W 18 St & 6 Av
419	17	0.33	W 18 St & 6 Av
420	1	0	W 18 St & 6 Av
421	0	0	W 18 St & 6 Av
422	12	13.96	W 18 St & 6 Av
423	16	1.96	W 18 St & 6 Av
424	4	0	W 18 St & 6 Av
425	18	0.22	W 18 St & 6 Av
426	22	0	W 18 St & 6 Av
427	2	0	W 18 St & 6 Av
428	6	0	W 18 St & 6 Av
429	21	0	W 18 St & 6 Av
430	13	9.69	W 18 St & 6 Av
431	14	7.2	W 18 St & 6 Av
432	7	0.22	W 18 St & 6 Av
433	19	0	Broadway & W 49 St
434	5	0	Broadway & W 49 St
435	1	0	Broadway & W 49 St
436	0	0	Broadway & W 49 St
437	15	0.22	Broadway & W 49 St
438	4	0	Broadway & W 49 St
439	8	4.04	Broadway & W 49 St
440	20	0	Broadway & W 49 St
441	23	0	Broadway & W 49 St
442	6	0	Broadway & W 49 St
443	18	0	Broadway & W 49 St
444	22	0	Broadway & W 49 St
445	9	7.73	Broadway & W 49 St
446	17	0	Broadway & W 49 St
447	21	0	Broadway & W 49 St
448	11	2.51	Broadway & W 49 St
449	12	0.98	Broadway & W 49 St
450	16	0.11	Broadway & W 49 St
451	14	0.33	Broadway & W 49 St
452	7	0	Broadway & W 49 St
453	2	0	Broadway & W 49 St
454	13	0.76	Broadway & W 49 St
455	10	4.79	Broadway & W 49 St
456	3	0	Broadway & W 49 St
457	15	0.11	E 25 St & 1 Ave
458	1	24.2	E 25 St & 1 Ave
459	18	0.77	E 25 St & 1 Ave
460	14	0.44	E 25 St & 1 Ave
461	17	0.11	E 25 St & 1 Ave
462	5	7.84	E 25 St & 1 Ave
463	0	21.78	E 25 St & 1 Ave
464	10	0	E 25 St & 1 Ave
465	23	19.37	E 25 St & 1 Ave
466	11	0	E 25 St & 1 Ave
467	12	0	E 25 St & 1 Ave
468	16	0.11	E 25 St & 1 Ave
469	7	1.96	E 25 St & 1 Ave
470	8	2.29	E 25 St & 1 Ave
471	22	10.64	E 25 St & 1 Ave
472	2	23.72	E 25 St & 1 Ave
473	13	0.54	E 25 St & 1 Ave
474	20	1.64	E 25 St & 1 Ave
475	21	5.15	E 25 St & 1 Ave
476	9	0	E 25 St & 1 Ave
477	3	22.77	E 25 St & 1 Ave
478	4	17.54	E 25 St & 1 Ave
479	19	3.62	E 25 St & 1 Ave
480	6	2.07	E 25 St & 1 Ave
481	9	2.29	Liberty St & Broadway
482	23	0	Liberty St & Broadway
483	0	0	Liberty St & Broadway
484	18	0	Liberty St & Broadway
485	22	0	Liberty St & Broadway
486	13	1.85	Liberty St & Broadway
487	14	1.74	Liberty St & Broadway
488	10	7.19	Liberty St & Broadway
489	2	0	Liberty St & Broadway
490	12	4.58	Liberty St & Broadway
491	6	0	Liberty St & Broadway
492	1	0	Liberty St & Broadway
493	17	0.11	Liberty St & Broadway
494	15	2.62	Liberty St & Broadway
495	7	0.22	Liberty St & Broadway
496	3	0.11	Liberty St & Broadway
497	11	5.88	Liberty St & Broadway
498	5	0.11	Liberty St & Broadway
499	21	0	Liberty St & Broadway
500	16	0.87	Liberty St & Broadway
501	4	0	Liberty St & Broadway
502	8	0.22	Liberty St & Broadway
503	20	0	Liberty St & Broadway
504	19	0	Liberty St & Broadway
505	23	0	W 16 St & The High Line
506	2	0	W 16 St & The High Line
507	13	16.34	W 16 St & The High Line
508	7	0.65	W 16 St & The High Line
509	14	7.42	W 16 St & The High Line
510	10	29.3	W 16 St & The High Line
511	18	0	W 16 St & The High Line
512	6	0	W 16 St & The High Line
513	3	0	W 16 St & The High Line
514	9	18.95	W 16 St & The High Line
515	4	0	W 16 St & The High Line
516	17	0.44	W 16 St & The High Line
517	22	0.99	W 16 St & The High Line
518	19	0.22	W 16 St & The High Line
519	16	0.44	W 16 St & The High Line
520	11	20.15	W 16 St & The High Line
521	21	0.77	W 16 St & The High Line
522	5	0	W 16 St & The High Line
523	12	23.12	W 16 St & The High Line
524	0	0	W 16 St & The High Line
525	15	3.49	W 16 St & The High Line
526	20	0.44	W 16 St & The High Line
527	1	0	W 16 St & The High Line
528	8	1.86	W 16 St & The High Line
529	23	51.8	W 13 St & 7 Ave
530	10	51.63	W 13 St & 7 Ave
531	7	51.2	W 13 St & 7 Ave
532	14	51.58	W 13 St & 7 Ave
533	11	51.63	W 13 St & 7 Ave
534	6	51.15	W 13 St & 7 Ave
535	3	50.98	W 13 St & 7 Ave
536	22	52.08	W 13 St & 7 Ave
537	15	51.69	W 13 St & 7 Ave
538	2	51.04	W 13 St & 7 Ave
539	21	51.86	W 13 St & 7 Ave
540	16	51.63	W 13 St & 7 Ave
541	5	51.63	W 13 St & 7 Ave
542	18	51.82	W 13 St & 7 Ave
543	19	52.41	W 13 St & 7 Ave
544	1	51.6	W 13 St & 7 Ave
545	0	52.33	W 13 St & 7 Ave
546	4	51.2	W 13 St & 7 Ave
547	17	51.92	W 13 St & 7 Ave
548	20	52.46	W 13 St & 7 Ave
549	12	51.58	W 13 St & 7 Ave
550	13	51.63	W 13 St & 7 Ave
551	9	50.98	W 13 St & 7 Ave
552	8	50.98	W 13 St & 7 Ave
553	7	0.11	Spruce St & Nassau St
554	23	0	Spruce St & Nassau St
555	2	0	Spruce St & Nassau St
556	19	0.66	Spruce St & Nassau St
557	6	0	Spruce St & Nassau St
558	3	0	Spruce St & Nassau St
559	14	7.42	Spruce St & Nassau St
560	10	6.1	Spruce St & Nassau St
561	11	4.47	Spruce St & Nassau St
562	20	1.42	Spruce St & Nassau St
563	16	2.4	Spruce St & Nassau St
564	18	0.66	Spruce St & Nassau St
565	17	1.86	Spruce St & Nassau St
566	8	0.11	Spruce St & Nassau St
567	21	0.99	Spruce St & Nassau St
568	5	0	Spruce St & Nassau St
569	15	3.71	Spruce St & Nassau St
570	9	3.59	Spruce St & Nassau St
571	12	4.47	Spruce St & Nassau St
572	0	0	Spruce St & Nassau St
573	22	0.44	Spruce St & Nassau St
574	13	4.9	Spruce St & Nassau St
575	1	0.33	Spruce St & Nassau St
576	4	0	Spruce St & Nassau St
577	2	0.33	W 14 St & The High Line
578	10	21.57	W 14 St & The High Line
579	7	0.33	W 14 St & The High Line
580	3	0	W 14 St & The High Line
581	16	3.81	W 14 St & The High Line
582	18	1.21	W 14 St & The High Line
583	19	1.54	W 14 St & The High Line
584	6	0	W 14 St & The High Line
585	21	1.54	W 14 St & The High Line
586	23	2.03	W 14 St & The High Line
587	15	7.09	W 14 St & The High Line
588	11	22.11	W 14 St & The High Line
589	20	2.85	W 14 St & The High Line
590	14	11.34	W 14 St & The High Line
591	22	2.08	W 14 St & The High Line
592	8	0.98	W 14 St & The High Line
593	17	1.64	W 14 St & The High Line
594	0	1.56	W 14 St & The High Line
595	4	0	W 14 St & The High Line
596	9	10.46	W 14 St & The High Line
597	13	16.12	W 14 St & The High Line
598	1	1.77	W 14 St & The High Line
599	5	0	W 14 St & The High Line
600	12	18.32	W 14 St & The High Line
601	7	0.11	E 48 St & 3 Ave
602	2	0	E 48 St & 3 Ave
603	6	0	E 48 St & 3 Ave
604	23	0	E 48 St & 3 Ave
605	10	26.14	E 48 St & 3 Ave
606	19	0	E 48 St & 3 Ave
607	20	0	E 48 St & 3 Ave
608	14	2.51	E 48 St & 3 Ave
609	4	0	E 48 St & 3 Ave
610	15	3.38	E 48 St & 3 Ave
611	11	14.49	E 48 St & 3 Ave
612	3	0	E 48 St & 3 Ave
613	16	0.44	E 48 St & 3 Ave
614	18	0	E 48 St & 3 Ave
615	17	0	E 48 St & 3 Ave
616	12	7.63	E 48 St & 3 Ave
617	21	0	E 48 St & 3 Ave
618	9	21.79	E 48 St & 3 Ave
619	8	0.76	E 48 St & 3 Ave
620	5	0	E 48 St & 3 Ave
621	22	0	E 48 St & 3 Ave
622	0	0	E 48 St & 3 Ave
623	13	3.27	E 48 St & 3 Ave
624	1	0.11	E 48 St & 3 Ave
625	2	0	Great Jones St
626	7	2.94	Great Jones St
627	10	15.03	Great Jones St
628	6	0.22	Great Jones St
629	18	3.2	Great Jones St
630	19	3.29	Great Jones St
631	23	0.11	Great Jones St
632	4	0	Great Jones St
633	8	9.28	Great Jones St
634	3	0	Great Jones St
635	16	12.31	Great Jones St
636	14	9.38	Great Jones St
637	15	10.25	Great Jones St
638	11	14.71	Great Jones St
639	21	0.55	Great Jones St
640	5	0	Great Jones St
641	22	0.22	Great Jones St
642	13	12.09	Great Jones St
643	20	1.42	Great Jones St
644	0	0.33	Great Jones St
645	9	19.06	Great Jones St
646	17	5.91	Great Jones St
647	1	0	Great Jones St
648	12	16.03	Great Jones St
649	2	15.96	St Marks Pl & 2 Ave
650	3	13.07	St Marks Pl & 2 Ave
651	4	9.91	St Marks Pl & 2 Ave
652	19	34.32	St Marks Pl & 2 Ave
653	6	0.44	St Marks Pl & 2 Ave
654	23	16.55	St Marks Pl & 2 Ave
655	10	0	St Marks Pl & 2 Ave
656	7	0	St Marks Pl & 2 Ave
657	21	28.07	St Marks Pl & 2 Ave
658	14	0	St Marks Pl & 2 Ave
659	9	0	St Marks Pl & 2 Ave
660	11	0	St Marks Pl & 2 Ave
661	20	32.64	St Marks Pl & 2 Ave
662	16	0	St Marks Pl & 2 Ave
663	5	5.99	St Marks Pl & 2 Ave
664	15	0.22	St Marks Pl & 2 Ave
665	17	0.66	St Marks Pl & 2 Ave
666	1	17.46	St Marks Pl & 2 Ave
667	0	18.44	St Marks Pl & 2 Ave
668	18	9.37	St Marks Pl & 2 Ave
669	8	0	St Marks Pl & 2 Ave
670	12	0.11	St Marks Pl & 2 Ave
671	13	0	St Marks Pl & 2 Ave
672	22	16.89	St Marks Pl & 2 Ave
673	3	14.16	E 11 Street & 2 Avenue
674	2	13.55	E 11 Street & 2 Avenue
675	6	0.76	E 11 Street & 2 Avenue
676	20	28.59	E 11 Street & 2 Avenue
677	10	0.11	E 11 Street & 2 Avenue
678	7	0	E 11 Street & 2 Avenue
679	19	22.7	E 11 Street & 2 Avenue
